Category,Symptom
Uncategorized,Vascular graft occlusion
Uncategorized,Hyperglycaemic hyperosmolar nonketotic syndrome
Uncategorized,Drain of cerebral subdural space
Uncategorized,Parathyroid gland enlargement
Uncategorized,Ureteral disorder
Uncategorized,Ureteric injury
Genitourinary Symptoms,Urinary tract stoma complication
Uncategorized,Small airways disease
General Symptoms,Arteriogram abnormal
Uncategorized,Electronic cigarette user
Uncategorized,Ovulation disorder
Uncategorized,Preictal state
Laboratory Findings,Blood ethanol increased
Laboratory Findings,Blood albumin abnormal
Infectious Symptoms,Hepatitis C core antibody negative
ENT Symptoms,Pelvic congestion
General Symptoms,Troponin I abnormal
Cardiovascular Findings,Cardiovascular deconditioning
Laboratory Findings,Urine alcohol test negative
Uncategorized,Dysbiosis
Uncategorized,Tinea versicolour
Uncategorized,Corneal dystrophy
Uncategorized,Great saphenous vein closure
Uncategorized,Hepatic haematoma
Uncategorized,Hepatic infarction
Procedural and Device-Related Issues,Ventilation/perfusion scan normal
Uncategorized,Leriche syndrome
Uncategorized,Smear vagina
Laboratory Findings,Blood cannabinoids
Laboratory Findings,Fungal test positive
Infectious Symptoms,HIV antigen
Uncategorized,Latent tuberculosis
Uncategorized,Measles antibody negative
Laboratory Findings,Parasitic blood test negative
Uncategorized,Small intestinal intussusception reduction
General Symptoms,Cold agglutinins
Procedural and Device-Related Issues,Face and mouth X-ray abnormal
Infectious Symptoms,Hepatic infection
Uncategorized,Multiple system atrophy
Neurological Symptoms,Paraesthesia mucosal
Uncategorized,Thyroid hormones decreased
Infectious Symptoms,Hepatitis B
Uncategorized,Umbilical cord prolapse
Uncategorized,Normal foetus
Uncategorized,Minimal residual disease
Uncategorized,Product formulation issue
Uncategorized,Cardiorenal syndrome
Uncategorized,Intracardiac mass
Uncategorized,Parasystole
Uncategorized,Dural arteriovenous fistula
Laboratory Findings,CSF protein decreased
Uncategorized,Polypoidal choroidal vasculopathy
Uncategorized,Nitrate compound therapy
Uncategorized,Talipes
Uncategorized,Phobia of driving
Infectious Symptoms,Campylobacter infection
Cardiovascular Findings,Popliteal pulse decreased
Musculoskeletal Symptoms,Joint range of motion measurement
Uncategorized,Exposure to communicable disease
Uncategorized,Post thrombotic syndrome
Laboratory Findings,AST to platelet ratio index increased
Laboratory Findings,Platelet morphology
Laboratory Findings,Blood oestrogen increased
Dermatologic Symptoms,Sweat gland disorder
Uncategorized,Pituitary haemorrhage
Infectious Symptoms,COVID-19 treatment
Uncategorized,Portal vein dilatation
Laboratory Findings,Polychromic red blood cells present
Laboratory Findings,Blood corticotrophin normal
Uncategorized,Cerebral revascularisation
Uncategorized,Internal carotid artery deformity
Neurological Symptoms,New daily persistent headache
Laboratory Findings,Epidural blood patch
Uncategorized,Extradural neoplasm
Procedural and Device-Related Issues,Magnetic resonance imaging hepatobiliary
Procedural and Device-Related Issues,Magnetic resonance imaging pancreas
Uncategorized,Mediastinal mass
Uncategorized,Metastases to lung
Uncategorized,Pancreatic carcinoma metastatic
Uncategorized,Transitional cell carcinoma
Uncategorized,Transitional cell carcinoma metastatic
Uncategorized,Trance
Uncategorized,Empty sella syndrome
General Symptoms,International normalised ratio abnormal
Uncategorized,Burning feet syndrome
Uncategorized,Spinal cord abscess
Uncategorized,Salivary gland mass
Uncategorized,Wisdom teeth removal
Uncategorized,Enlarged clitoris
Genitourinary Symptoms,Testicular mass
Genitourinary Symptoms,Genital tract inflammation
Uncategorized,Diabetic diet
Dermatologic Symptoms,Peripheral nerve lesion
Uncategorized,Eyelid injury
Laboratory Findings,Hepatitis A virus test positive
Laboratory Findings,Erythrocyte osmotic fragility test
General Symptoms,Nutritional condition abnormal
Uncategorized,Anti-erythropoietin antibody positive
Uncategorized,Capsule endoscopy
Cardiovascular Findings,Respiratory sinus arrhythmia magnitude
Laboratory Findings,Treponema test positive
Uncategorized,Neurosis
Laboratory Findings,Blood creatine decreased
Uncategorized,Premature ovulation
Musculoskeletal Symptoms,Smooth muscle antibody
Procedural and Device-Related Issues,Saline infusion sonogram
Laboratory Findings,Coombs direct test positive
Uncategorized,Schizoaffective disorder
Uncategorized,Squamous cell carcinoma of lung
Uncategorized,Epilepsy with myoclonic-atonic seizures
Uncategorized,Splenic artery embolisation
Uncategorized,Subcapsular splenic haematoma
Uncategorized,Application site bruise
Uncategorized,Post abortion haemorrhage
Uncategorized,Pyloric sphincter insufficiency
Uncategorized,Chemical burn of oral cavity
Uncategorized,Jealous delusion
Musculoskeletal Symptoms,Bone neoplasm
Uncategorized,Head deformity
Uncategorized,Drug effective for unapproved indication
Procedural and Device-Related Issues,Vaccination site exfoliation
Laboratory Findings,Blood cholesterol abnormal
Uncategorized,Cell marker decreased
Laboratory Findings,Red blood cell analysis abnormal
Uncategorized,Hairy cell leukaemia
Uncategorized,Intestinal stenosis
Uncategorized,Ovarian enlargement
Infectious Symptoms,Amniotic cavity infection
Uncategorized,Accident at work
Infectious Symptoms,Viral load
Respiratory Symptoms,Allergic cough
Uncategorized,Infertility female
Procedural and Device-Related Issues,Ultrasound testes
Uncategorized,Hepatic haemorrhage
Respiratory Symptoms,Sputum test
Uncategorized,PaO2/FiO2 ratio
Musculoskeletal Symptoms,Vaccination site joint swelling
Uncategorized,Lupus myositis
Uncategorized,Burn oesophageal
Procedural and Device-Related Issues,Vaccination site thrombosis
Uncategorized,Hyperosmolar state
Uncategorized,Ejaculation failure
Uncategorized,Uterine cyst
Uncategorized,Biopsy pharynx
Uncategorized,Anal abscess
Allergic and Immune Reactions,Oral allergy syndrome
Musculoskeletal Symptoms,Limb operation
Uncategorized,Jugular vein embolism
Uncategorized,Subclavian artery embolism
Uncategorized,pH body fluid increased
Uncategorized,Acute lymphocytic leukaemia
Cardiovascular Findings,Foetal heart rate acceleration abnormality
Uncategorized,CD25 antigen positive
Uncategorized,Carpal tunnel decompression
Laboratory Findings,Enzyme level increased
Uncategorized,Biopsy artery
Cardiovascular Findings,Cardiac imaging procedure normal
Uncategorized,Complication of pregnancy
Laboratory Findings,Haemophilus test positive
Laboratory Findings,Protein C deficiency
Laboratory Findings,Protein S deficiency
Genitourinary Symptoms,Renal artery thrombosis
Uncategorized,Monoclonal B-cell lymphocytosis
Cardiovascular Findings,Cardiac ventriculogram left abnormal
Uncategorized,Macrophage count
Uncategorized,Electroconvulsive therapy
Uncategorized,Sternotomy
Laboratory Findings,Blood oestrogen normal
Uncategorized,Microtia
Laboratory Findings,Parasite DNA test
Uncategorized,Optic nerve infarction
ENT Symptoms,Intestinal congestion
Uncategorized,Peritoneal adhesions
General Symptoms,Endoscopy upper gastrointestinal tract abnormal
Gastrointestinal Symptoms,Gastric antral vascular ectasia
Uncategorized,Fowler's position
Ophthalmologic Symptoms,Eye patch application
Uncategorized,Leukoderma
Uncategorized,CSF neutrophil count positive
Uncategorized,Eyelash changes
Cardiovascular Findings,Myocardial depression
Uncategorized,Pneumothorax spontaneous
Uncategorized,Central venous pressure increased
Uncategorized,Venous pressure jugular increased
Uncategorized,Small intestinal perforation
Cardiovascular Findings,Electrocardiogram QT interval abnormal
Uncategorized,Strangulated hernia
Procedural and Device-Related Issues,Arterial therapeutic procedure
Uncategorized,Coronary artery reocclusion
Uncategorized,Fistulogram
Infectious Symptoms,Infection susceptibility increased
Uncategorized,Mixed incontinence
Uncategorized,Victim of abuse
Uncategorized,Adenoidal disorder
Uncategorized,Neuroendocrine tumour
Genitourinary Symptoms,Testicular atrophy
Neurological Symptoms,Sciatic nerve neuropathy
Uncategorized,Stoma site hypergranulation
Musculoskeletal Symptoms,Stoma site pain
Neurological Symptoms,Vertigo CNS origin
Uncategorized,Milia
Uncategorized,Achlorhydria
Uncategorized,Dental caries
Uncategorized,Dumping syndrome
Uncategorized,Cervix carcinoma
Respiratory Symptoms,Pulmonary cavitation
Uncategorized,Very low density lipoprotein normal
Laboratory Findings,Artificial blood vessel occlusion
Uncategorized,Hyperferritinaemia
Respiratory Symptoms,Pneumonia legionella
Cardiovascular Findings,Electrocardiogram S1-S2-S3 pattern
Uncategorized,Hypercarotinaemia
General Symptoms,Cytology abnormal
Uncategorized,Bronchial obstruction
Uncategorized,Retinopexy
Genitourinary Symptoms,Penile blister
Uncategorized,Vascular access site thrombosis
Laboratory Findings,Enterovirus test positive
Uncategorized,Sinoatrial block
Uncategorized,Menstrual cycle management
Uncategorized,Hepatic artery thrombosis
Gastrointestinal Symptoms,Stomach mass
Infectious Symptoms,Conjunctivitis bacterial
Uncategorized,Application site plaque
Uncategorized,Toxoplasma serology negative
Uncategorized,School refusal
Uncategorized,SUNCT syndrome
Laboratory Findings,Neuro-ophthalmological test
Uncategorized,Neurosensory hypoacusis
Uncategorized,Shoulder arthroplasty
Uncategorized,CD4 lymphocytes decreased
Musculoskeletal Symptoms,Muscle hypertrophy
Uncategorized,Drug level decreased
Laboratory Findings,Calcium ionised
Procedural and Device-Related Issues,Vaccination site pustule
Infectious Symptoms,Hepatitis D
Uncategorized,Oral discharge
Uncategorized,Urticarial vasculitis
Genitourinary Symptoms,Vaginal odour
Cardiovascular Findings,Myocardial fibrosis
Uncategorized,Abortion
Gastrointestinal Symptoms,Abdominal sepsis
Uncategorized,Linear IgA disease
Uncategorized,Spinal cord neoplasm
Uncategorized,Magnetic therapy
Uncategorized,Hernial eventration
Uncategorized,Lymphangioma
Respiratory Symptoms,Idiopathic pulmonary fibrosis
Uncategorized,Tetanus immunisation
General Symptoms,ADAMTS13 activity abnormal
Uncategorized,Schistocytosis
Laboratory Findings,Platelet function test
Uncategorized,Fowler's syndrome
Infectious Symptoms,Central nervous system infection
Uncategorized,Chronic sinusitis
Laboratory Findings,Biopsy kidney normal
Uncategorized,Complement factor decreased
Uncategorized,Overlap syndrome
Uncategorized,Hysterosalpingogram
Uncategorized,Toxic shock syndrome
Uncategorized,Endocrine disorder
Uncategorized,CSF volume
Uncategorized,Cellulitis orbital
Uncategorized,Drug trough level
Uncategorized,Cerebral microinfarction
Uncategorized,Drug withdrawal syndrome
Uncategorized,Booster dose missed
Musculoskeletal Symptoms,Biopsy bone
Gastrointestinal Symptoms,Stomach scan normal
Uncategorized,Malignant melanoma in situ
Dermatologic Symptoms,Skin turgor decreased
Laboratory Findings,Platelet storage pool deficiency
Uncategorized,Carbohydrate antigen 125 increased
Uncategorized,Mitral valve disease
Procedural and Device-Related Issues,Device related bacteraemia
Procedural and Device-Related Issues,Scan spleen
Uncategorized,Acid base balance
Laboratory Findings,Blood group B
Laboratory Findings,Blood caffeine decreased
Uncategorized,Portosplenomesenteric venous thrombosis
Uncategorized,Hepatic vein occlusion
Dermatologic Symptoms,Urticarial dermatitis
Uncategorized,Basilar artery stenosis
Uncategorized,Pelvi-ureteric obstruction
Uncategorized,Bickerstaff's encephalitis
Uncategorized,Factor V Leiden carrier
Laboratory Findings,Blood alcohol normal
Laboratory Findings,Insulin tolerance test
Uncategorized,Gastrointestinal ulcer
Uncategorized,Von Willebrand's factor antibody
Laboratory Findings,Blood ketone body present
Uncategorized,Abscess oral
Infectious Symptoms,Klebsiella infection
Infectious Symptoms,Dengue fever
Laboratory Findings,Dengue virus test negative
Uncategorized,Ureteritis
Cardiovascular Findings,Popliteal pulse increased
General Symptoms,Computerised tomogram coronary artery abnormal
Uncategorized,Basilar artery aneurysm
Uncategorized,Syringomyelia
Uncategorized,Normochromic normocytic anaemia
Gastrointestinal Symptoms,Abdominal cavity drainage
Uncategorized,Gallbladder injury
Laboratory Findings,Parasite stool test negative
Musculoskeletal Symptoms,Pain prophylaxis
Procedural and Device-Related Issues,Pituitary scan
Gastrointestinal Symptoms,Abdominal exploration
Respiratory Symptoms,Pulmonary arterial pressure
Uncategorized,Sinobronchitis
Uncategorized,Chondromatosis
Uncategorized,Ligament calcification
Procedural and Device-Related Issues,Oral surgery
Uncategorized,Wound haematoma
Uncategorized,Foreign body in gastrointestinal tract
Uncategorized,Foetal placental thrombosis
Uncategorized,Drain removal
Uncategorized,Breast injury
Uncategorized,Biopsy lung
Uncategorized,Neurosarcoidosis
Uncategorized,Infected seroma
Uncategorized,Antiribosomal P antibody
Uncategorized,Carbohydrate antigen 19-9
Uncategorized,Carcinoembryonic antigen
Uncategorized,Uterine enlargement
Dermatologic Symptoms,Dry skin prophylaxis
Gastrointestinal Symptoms,Gastric hypertonia
Laboratory Findings,Anti-platelet antibody negative
Uncategorized,Plateletpheresis
Uncategorized,Vitamin supplementation
Uncategorized,Suggestibility
Uncategorized,Malignant pleural effusion
Uncategorized,Small cell lung cancer
Gastrointestinal Symptoms,Gastric bypass
Infectious Symptoms,Acid fast bacilli infection
Neurological Symptoms,Post stroke depression
Uncategorized,Non-neutralising antibodies negative
Uncategorized,T-lymphocyte count decreased
Laboratory Findings,Quantitative sudomotor axon reflex test
Uncategorized,Impaired ability to use machinery
Uncategorized,Administration site irritation
Infectious Symptoms,Root canal infection
Laboratory Findings,Blood triglycerides abnormal
Uncategorized,Contraceptive diaphragm
General Symptoms,Low density lipoprotein abnormal
Laboratory Findings,Urine protein/creatinine ratio abnormal
Uncategorized,Anti-glomerular basement membrane antibody
Genitourinary Symptoms,Bladder hydrodistension
Uncategorized,CD4/CD8 ratio decreased
Uncategorized,CD8 lymphocytes
Uncategorized,CSF pressure normal
General Symptoms,Light chain analysis abnormal
Uncategorized,Light chain analysis increased
Uncategorized,Natural killer cell count decreased
Genitourinary Symptoms,Subcapsular renal haematoma
Uncategorized,Ureteric haemorrhage
Uncategorized,Vertebral artery aneurysm
Uncategorized,Amniotic fluid volume increased
Uncategorized,Amblyopia strabismic
Uncategorized,Drug specific antibody absent
Uncategorized,Fibrinolysis normal
Uncategorized,Arteriosclerotic retinopathy
Laboratory Findings,Biopsy blood vessel
Uncategorized,Iron binding capacity unsaturated decreased
Laboratory Findings,"Blood 1,25-dihydroxycholecalciferol decreased"
Uncategorized,Instillation site warmth
Respiratory Symptoms,Respiratory tract inflammation
General Symptoms,Coagulation time abnormal
Gastrointestinal Symptoms,Abdominal neoplasm
Uncategorized,Hepatic neoplasm
Uncategorized,Bronchial oedema
Uncategorized,Eyelid vascular disorder
Uncategorized,Anticoagulation drug level
Genitourinary Symptoms,Ultrasound urinary system
Uncategorized,Metastases to central nervous system
Uncategorized,Leukoplakia
Psychiatric Symptoms,Hypnagogic hallucination
Uncategorized,Retinitis pigmentosa
Uncategorized,Acquired haemophilia
Laboratory Findings,Total cholesterol/HDL ratio decreased
Uncategorized,Epstein-Barr viraemia
Uncategorized,Myocarditis infectious
Uncategorized,Tympanometry normal
Uncategorized,Anal fissure
Uncategorized,Vascular stent insertion
Uncategorized,Therapy interrupted
Musculoskeletal Symptoms,Stress fracture
Uncategorized,Tenosynovitis stenosans
Uncategorized,Cerebrospinal fluid drainage
Uncategorized,Retinal vasculitis
Uncategorized,Toxoplasma serology
Uncategorized,Vitritis
Uncategorized,Neonatal asphyxia
Uncategorized,Spontaneous haematoma
Uncategorized,Decorticate posture
Laboratory Findings,Kleihauer-Betke test
Uncategorized,Ovarian mass
Uncategorized,Coagulation factor level normal
Laboratory Findings,Blood insulin decreased
Laboratory Findings,Haemodynamic test
Laboratory Findings,Electrophoresis protein abnormal
Respiratory Symptoms,Pulmonary arteriopathy
Uncategorized,Hemihyperaesthesia
Infectious Symptoms,Hepatitis viral
Uncategorized,CD4 lymphocytes increased
Uncategorized,Placenta accreta
Dermatologic Symptoms,Injection site calcification
Uncategorized,Pacemaker syndrome
Allergic and Immune Reactions,Autoimmune arthritis
Uncategorized,Adenocarcinoma
Uncategorized,Encephalomyelitis
Infectious Symptoms,Scedosporium infection
Uncategorized,Exercise adequate
Uncategorized,Anti-complement antibody
Laboratory Findings,Brucella test negative
Laboratory Findings,Coxiella test
Uncategorized,Gomori methenamine silver stain
Laboratory Findings,HTLV test
Uncategorized,Inflammatory marker decreased
Laboratory Findings,Malaria antibody test negative
Uncategorized,Endolymphatic hydrops
Uncategorized,Disturbance in sexual arousal
Uncategorized,Spinal ligament ossification
Infectious Symptoms,Hepatitis B core antigen
Infectious Symptoms,Hepatitis C virus core antigen
Uncategorized,Wrong schedule
Uncategorized,Potentiating drug interaction
Cardiovascular Findings,Neonatal tachycardia
Uncategorized,Spinal vascular disorder
Uncategorized,Alpha 2 globulin increased
Uncategorized,Vitamin B2
Uncategorized,Melanocytic hyperplasia
Uncategorized,Vascular graft thrombosis
Laboratory Findings,Enterococcus test
Uncategorized,Barium swallow normal
Laboratory Findings,Blood cannabinoids decreased
Uncategorized,Oligohydramnios
Uncategorized,Third trimester pregnancy
Uncategorized,Post laminectomy syndrome
Uncategorized,Adrenal neoplasm
Musculoskeletal Symptoms,Bone marrow failure
Uncategorized,Atrophy of globe
Uncategorized,Capillaritis
Uncategorized,Haematotympanum
Laboratory Findings,Anti-platelet antibody
Uncategorized,Enterococcal bacteraemia
Uncategorized,Radiation injury
Laboratory Findings,Kidney small
Respiratory Symptoms,Pulmonary valve incompetence
General Symptoms,Histology abnormal
Uncategorized,Aortic valve thickening
Uncategorized,Idiopathic orbital inflammation
Dermatologic Symptoms,Orbital space occupying lesion
Uncategorized,Onychomadesis
Respiratory Symptoms,Respiratory therapy
Uncategorized,Microangiopathy
Uncategorized,Neutrophil/lymphocyte ratio
Laboratory Findings,Potassium hydroxide preparation negative
Uncategorized,Cerebellar artery occlusion
Infectious Symptoms,SARS-CoV-2 RNA fluctuation
Laboratory Findings,Thyroid releasing hormone challenge test
Uncategorized,Dactylitis
Uncategorized,Posterior capsule opacification
Uncategorized,Eyelid cyst removal
Cardiovascular Findings,Cardiac complication associated with device
Uncategorized,Malignant melanoma
Infectious Symptoms,Herpes zoster infection neurological
Musculoskeletal Symptoms,Afterbirth pain
Respiratory Symptoms,Pneumonia respiratory syncytial viral
Uncategorized,Dialysis disequilibrium syndrome
Uncategorized,Primary familial brain calcification
Uncategorized,Thecal sac compression
Uncategorized,Binge eating
Infectious Symptoms,Groin infection
Uncategorized,Pneumoperitoneum
Musculoskeletal Symptoms,Spine malformation
Uncategorized,Tooth development disorder
Procedural and Device-Related Issues,Breast conserving surgery
Uncategorized,Urogram normal
Uncategorized,Cystometrogram
ENT Symptoms,Rhinitis perennial
Uncategorized,Imperception
Uncategorized,Rhesus antigen negative
Uncategorized,Fibrillary glomerulonephritis
Infectious Symptoms,Familial mediterranean fever
Uncategorized,Basal ganglia haematoma
Uncategorized,Exposure to noise
Procedural and Device-Related Issues,Dialysis device insertion
Uncategorized,Positive end-expiratory pressure
Uncategorized,Lipids decreased
Uncategorized,Sinoscopy
Psychiatric Symptoms,Performance fear
Uncategorized,Sickle cell trait
General Symptoms,Biopsy breast abnormal
Uncategorized,Invasive breast carcinoma
Uncategorized,Metastases to lymph nodes
Uncategorized,Anti-glomerular basement membrane disease
Musculoskeletal Symptoms,Joint stabilisation
Uncategorized,Spinal cord haemorrhage
Infectious Symptoms,Lymphadenitis bacterial
Dermatologic Symptoms,Catheter site erythema
Musculoskeletal Symptoms,Catheter site swelling
Uncategorized,Catheter site warmth
Uncategorized,Central venous catheter removal
Uncategorized,Mesenteric haematoma
Uncategorized,Pancreatitis haemorrhagic
Uncategorized,Peripancreatic varices
Procedural and Device-Related Issues,Vaccination site nerve damage
ENT Symptoms,Ear lobe infection
Dermatologic Symptoms,Herpes dermatitis
Uncategorized,Suspected product tampering
Uncategorized,Congenital myopathy
Uncategorized,Transmembrane receptor tyrosine kinase assay
General Symptoms,Laryngoscopy abnormal
Uncategorized,Acute polyneuropathy
Uncategorized,Pre-existing disease
Laboratory Findings,Central nervous system function test
Uncategorized,Biopsy pericardium
Uncategorized,Fragile X syndrome
Uncategorized,Neuropathic arthropathy
Dermatologic Symptoms,Injection site eczema
Musculoskeletal Symptoms,Acetabulum fracture
Laboratory Findings,Urine protein/creatinine ratio decreased
Uncategorized,Primigravida
Uncategorized,Hemianopia homonymous
Laboratory Findings,Blood brain barrier defect
Laboratory Findings,Blood zinc normal
General Symptoms,Nasogastric output abnormal
Uncategorized,Amniocentesis
Neurological Symptoms,Change in seizure presentation
Uncategorized,Tenotomy
Cardiovascular Findings,Cardiac hypertrophy
General Symptoms,Orgasm abnormal
Uncategorized,Thrombosed varicose vein
Uncategorized,Manipulation
Uncategorized,Vascular stent occlusion
Uncategorized,Bicuspid aortic valve
Uncategorized,Ophthalmic fluid drainage
Uncategorized,Tracheal obstruction
Musculoskeletal Symptoms,Bone hypertrophy
Infectious Symptoms,Disseminated varicella zoster vaccine virus infection
Uncategorized,Ligamentitis
Uncategorized,Vital capacity
Cardiovascular Findings,Cardiac amyloidosis
Uncategorized,Hypomania
Uncategorized,Large intestinal stenosis
Uncategorized,Limbic encephalitis
Uncategorized,Plasma cell myeloma recurrent
Uncategorized,Plasma cell count
Cardiovascular Findings,Cardiovascular insufficiency
Uncategorized,Lipoprotein increased
Uncategorized,Molluscum contagiosum
General Symptoms,Oestradiol abnormal
Uncategorized,Ovarian failure
General Symptoms,Brain natriuretic peptide abnormal
Genitourinary Symptoms,Renal artery stent placement
Uncategorized,Normal pressure hydrocephalus
Genitourinary Symptoms,Urinary bladder toxicity
Uncategorized,Disease complication
Uncategorized,Pericardial haemorrhage
Uncategorized,Conjunctival cyst
Uncategorized,Central nervous system injury
Uncategorized,Uterine hypertonus
Uncategorized,Merycism
Uncategorized,Eosinophilic myocarditis
Uncategorized,Interferon gamma normal
Uncategorized,Smear site unspecified normal
Uncategorized,Auricular chondritis
General Symptoms,Pleural fluid analysis abnormal
Ophthalmologic Symptoms,Autoimmune eye disorder
Uncategorized,Leukocyturia
Uncategorized,Listeriosis
Uncategorized,Cell-mediated cytotoxicity
Uncategorized,Drug delivery system malfunction
Uncategorized,Intentional overdose
Uncategorized,Mouth cyst
Musculoskeletal Symptoms,Aneurysmal bone cyst
Infectious Symptoms,Neurological infection
Uncategorized,Lung carcinoma cell type unspecified recurrent
Allergic and Immune Reactions,Type I hypersensitivity
Uncategorized,Brown-Sequard syndrome
Uncategorized,CSF pressure
Uncategorized,Abortion threatened
Uncategorized,Female reproductive tract disorder
Uncategorized,POEMS syndrome
Genitourinary Symptoms,Streptococcal urinary tract infection
Uncategorized,Biopsy chest wall
Uncategorized,Interventricular septum rupture
Uncategorized,Hypertensive end-organ damage
Uncategorized,Prophylaxis against gastrointestinal ulcer
Uncategorized,Megakaryocytes normal
Uncategorized,Goodpasture's syndrome
Uncategorized,Thyroglobulin increased
Allergic and Immune Reactions,Thyroid stimulating immunoglobulin increased
Laboratory Findings,Blood gonadotrophin normal
Uncategorized,Meige's syndrome
Genitourinary Symptoms,Urinary system x-ray normal
Uncategorized,Eustachian tube patulous
Uncategorized,Leukaemia in remission
Uncategorized,Adiposis dolorosa
Uncategorized,Drug intolerance
Musculoskeletal Symptoms,Smooth muscle antibody positive
Uncategorized,Spinal column injury
Genitourinary Symptoms,Ultrasound bladder abnormal
Uncategorized,Hypogammaglobulinaemia
Uncategorized,Biochemical pregnancy
Uncategorized,Hepatic vascular thrombosis
Genitourinary Symptoms,Renal vascular thrombosis
General Symptoms,Laparoscopy abnormal
Laboratory Findings,Blood triglycerides decreased
Allergic and Immune Reactions,Caffeine allergy
Uncategorized,Systemic immune activation
Uncategorized,Benign neoplasm
Ophthalmologic Symptoms,Colour vision tests abnormal
Laboratory Findings,Blood chromium normal
Uncategorized,Norepinephrine increased
Uncategorized,Carotidynia
Laboratory Findings,Echovirus test
Uncategorized,Osteonecrosis
Uncategorized,Turner's syndrome
Laboratory Findings,Tilt table test normal
Cardiovascular Findings,Atrial septal defect repair
Uncategorized,Vertebral artery hypoplasia
Uncategorized,Budd-Chiari syndrome
Laboratory Findings,White blood cells stool positive
Uncategorized,Blepharal papilloma
Laboratory Findings,Blood uric acid decreased
Infectious Symptoms,Human herpesvirus 6 infection
Uncategorized,Anovulatory cycle
Musculoskeletal Symptoms,Fracture displacement
Genitourinary Symptoms,Genital cyst
Infectious Symptoms,Aspergillus infection
Uncategorized,Biopsy bronchus
Infectious Symptoms,SARS-CoV-2 sepsis
Uncategorized,Anti-RNA polymerase III antibody positive
Uncategorized,DNA antibody positive
Uncategorized,Lacrimal haemorrhage
Genitourinary Symptoms,Ultrasound prostate
Uncategorized,Product communication issue
Uncategorized,Interferon gamma release assay positive
Laboratory Findings,Typhus rickettsia test
Uncategorized,Purpura non-thrombocytopenic
Uncategorized,Venous valve ruptured
Uncategorized,Colonic fistula
Uncategorized,Product substitution error
Musculoskeletal Symptoms,Muscle contusion
General Symptoms,Faecal calprotectin abnormal
Uncategorized,Cochlea implant
Uncategorized,Uterine disorder
Uncategorized,Fibroblast growth factor 23
Laboratory Findings,Red blood cell morphology abnormal
Laboratory Findings,Platelet rich plasma therapy
Uncategorized,Empyema
Uncategorized,Pleural decortication
Uncategorized,Pneumonolysis
Laboratory Findings,Urine electrophoresis
Laboratory Findings,HTLV-1 test positive
Laboratory Findings,HTLV-2 test positive
Uncategorized,Coagulation factor VIII level
Laboratory Findings,Biopsy blood vessel abnormal
Uncategorized,Biopsy spinal cord
Uncategorized,Heat cramps
Allergic and Immune Reactions,Autoimmune myocarditis
Cardiovascular Findings,Ventricular remodelling
Neurological Symptoms,Optic neuropathy
Musculoskeletal Symptoms,Aortic valve sclerosis
Uncategorized,Pyelonephritis acute
Musculoskeletal Symptoms,Catheter site pain
Uncategorized,Head banging
Neurological Symptoms,Hypoglossal nerve paresis
Uncategorized,Therapeutic response decreased
Uncategorized,Morbid thoughts
Uncategorized,Neoplasm recurrence
Uncategorized,Tumour marker increased
Musculoskeletal Symptoms,Muscle haemorrhage
Uncategorized,Autonomic dysreflexia
Neurological Symptoms,Autonomic neuropathy
Uncategorized,Salivary gland neoplasm
Uncategorized,Myringotomy
General Symptoms,Biopsy site unspecified abnormal
ENT Symptoms,Nasal sinus irrigation
Uncategorized,Anti-ganglioside antibody positive
Dermatologic Symptoms,Artificial skin graft
Dermatologic Symptoms,Skin graft
Uncategorized,Decreased bronchial secretion
Uncategorized,ASXL1 gene mutation
Uncategorized,Chronic myelomonocytic leukaemia
Uncategorized,Polycythaemia vera
General Symptoms,Arterial catheterisation abnormal
ENT Symptoms,Pilonidal sinus repair
Uncategorized,Atonic seizures
Uncategorized,Factitious disorder
Infectious Symptoms,Sinusitis bacterial
Uncategorized,Retinogram normal
Uncategorized,Epidural lipomatosis
Dermatologic Symptoms,Chronic graft versus host disease in skin
Uncategorized,Chronic graft versus host disease oral
Cardiovascular Findings,Myocardial bridging
Uncategorized,Addison's disease
Laboratory Findings,Blood immunoglobulin M decreased
Uncategorized,Postpartum thrombosis
Uncategorized,Oesophageal irritation
Dermatologic Symptoms,Penile erythema
Procedural and Device-Related Issues,Hepatobiliary scan normal
Uncategorized,Retinal pigment epitheliopathy
Uncategorized,Pleural fibrosis
Procedural and Device-Related Issues,Bunion operation
Genitourinary Symptoms,Penile abscess
Genitourinary Symptoms,Testicular oedema
Laboratory Findings,Blood chloride abnormal
General Symptoms,Lymphocyte percentage abnormal
General Symptoms,Neutrophil percentage abnormal
General Symptoms,Amylase abnormal
Psychiatric Symptoms,Adjustment disorder with depressed mood
Uncategorized,Congenital uterine anomaly
Cardiovascular Findings,Cardiac ventricular disorder
General Symptoms,Monocyte count abnormal
Uncategorized,Thrombin time normal
Uncategorized,Volvulus repair
Laboratory Findings,Urine cannabinoids increased
Laboratory Findings,Pneumocystis test negative
Genitourinary Symptoms,Penile burning sensation
Uncategorized,Tracheal disorder
Uncategorized,Diuretic therapy
Uncategorized,Premature baby death
Allergic and Immune Reactions,Monoclonal immunoglobulin increased
Uncategorized,Haemosiderin stain
Uncategorized,Starvation
Infectious Symptoms,Hepatitis C RNA negative
Dermatologic Symptoms,Urticaria physical
Uncategorized,Vulvitis
Uncategorized,Phlebotomy
Laboratory Findings,Laboratory test interference
Uncategorized,Multiple chemical sensitivity
